***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,GCACFG,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,950,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1650,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,300,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,16,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,32.99,,,,,,System Temp (C):,22.64,,,,,,,
Humidity (%):,65.6,,,,,,Humidity (%):,32.0,,,,,,
Battery Capacity (%):,97,,,,,,Lamp Indicator:,845,,,,,,,
Lamp ADC:,3053,3075,848,837,,,Data Date-Time:,23/1/6T19:6:26
Data Date-Time:,24/10/4T11:51:48,,,,,,,,,,,,,,
Total Measurement Time in sec:,7.346,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-3.7796363779115723,0.038358433248661464,-9.420811808630703E-5,,,,,
Serial Number:,B50R085,95UB123GC0VB50R085,,,,,Pixel to Wavelength Coefficients:,1759.08742666362,-0.9236467962778762,-2.4101105395423096E-4,,,,,
APP Version:,2.18.18,,,,,,,,,,,,,
TIVA Version:,2.6.3,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,DE:67:0C:88:67:45:81:21,,,,,,Total Time(HH:MM:SS):,5hr 11min 55sec ,,,,,,,
Main Board Version:,F,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,C,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x0000000000000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1527.1646688213707,1.8168455,706614.0,10773
1529.2389948267514,1.8195868,700131.0,10607
1532.346868669013,1.8209682,690906.0,10434
1534.4163744533146,1.8222657,684273.0,10303
1536.4839521491845,1.8229146,677647.0,10188
1538.5496017566227,1.8213772,671143.0,10126
1540.6133232756292,1.8243963,664412.0,9955
1542.6751167062043,1.8265957,657455.0,9801
1544.7349820483478,1.8266956,650427.0,9694
1546.7929193020595,1.831087,643414.0,9493
1548.8489284673396,1.8283086,636415.0,9450
1550.903009544188,1.8310739,629365.0,9286
1552.9551625326048,1.8391544,621989.0,9008
1555.0053874325902,1.8355305,614287.0,8971
1557.0536842441438,1.838155,607057.0,8812
1560.1225142956648,1.8396147,596106.0,8624
1562.1659908861393,1.8417732,588656.0,8474
1564.207539388182,1.8407089,581533.0,8392
1566.2471598017935,1.8400043,574087.0,8298
1568.284852126973,1.8451111,566317.0,8090
1570.320616363721,1.8443784,558933.0,7998
1572.3544525120374,1.8453794,551257.0,7870
1574.386360571922,1.846177,543288.0,7742
1576.416340543375,1.8510534,535868.0,7551
1578.4443924263965,1.8458815,528262.0,7533
1580.4705162209862,1.849164,520470.0,7366
1582.4947119271444,1.8510898,512634.0,7223
1584.516979544871,1.8530921,504807.0,7080
1587.5467658056514,1.8565568,493901.0,6872
1589.5642132022988,1.8526663,486006.0,6823
1591.5797325105145,1.8597314,477977.0,6602
1593.5933237302988,1.8523829,469815.0,6600
1595.6049868616515,1.8590847,462446.0,6397
1597.6147219045722,1.8601524,455033.0,6279
1599.6225288590615,1.8575664,447577.0,6213
1601.6284077251191,1.8650095,439338.0,5995
1603.632358502745,1.8599994,431401.0,5955
1605.6343811919396,1.8622767,423765.0,5819
1607.6344757927022,1.8641235,415917.0,5687
1609.6326423050334,1.8549445,408078.0,5699
1611.628880728933,1.8621761,400514.0,5501
1613.6231910644005,1.8623673,392678.0,5391
1616.611041401793,1.85864,380584.0,5270
1618.600531516182,1.8690965,372622.0,5037
1620.588093542139,1.8700572,364921.0,4922
1622.5737274796645,1.8603823,357534.0,4931
1624.5574333287582,1.8704218,350461.0,4723
1626.5392110894204,1.8698887,343361.0,4633
1628.519060761651,1.8731211,336369.0,4505
1630.49698234545,1.8696669,329482.0,4448
